[I 240117 02:48:37 policy_utils:158] {
      "env": "MovieLensEnv-v0",
      "user_model_name": "DeepFM",
      "seed": 2023,
      "cuda": 7,
      "remove_recommended_ids": false,
      "draw_bar": false,
      "is_userinfo": true,
      "is_all_item_ranking": false,
      "cpu": false,
      "is_save": false,
      "use_userEmbedding": false,
      "use_pretrained_embedding": true,
      "exploration_noise": false,
      "explore_eps": 0.01,
      "need_state_norm": false,
      "freeze_emb": false,
      "reward_handle": "cat",
      "which_tracker": "avg",
      "embedding_dim": 32,
      "window_size": 3,
      "random_init": true,
      "filter_sizes": [
        2,
        3,
        4
      ],
      "num_filters": 16,
      "dropout_rate": 0.1,
      "num_heads": 1,
      "dilations": "[1, 2, 1, 2, 1, 2]",
      "buffer_size": 100000,
      "lr": 0.001,
      "epoch": 100,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "n_step": 3,
      "update_per_step": 0.125,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "reward_threshold": null,
      "gamma": 0.9,
      "step_per_epoch": 100000,
      "step_per_collect": 100,
      "repeat_per_collect": 1,
      "logdir": "log",
      "read_message": "pointneg_5",
      "all_item_ranking": false,
      "is_binarize": true,
      "need_transform": true,
      "use_auxiliary": true,
      "entropy_window": [
        1,
        2
      ],
      "rating_threshold": 4,
      "yfeat": "rating",
      "leave_threshold": 75,
      "num_leave_compute": 7,
      "max_turn": 30,
      "force_length": 10,
      "top_rate": 0.8,
      "model_name": "A2C_pre",
      "vf_coef": 0.5,
      "ent_coef": 0.0,
      "max_grad_norm": null,
      "gae_lambda": 1.0,
      "rew_norm": false,
      "message": "A2C_5",
      "hostname": "server3"
    }
[I 240117 02:54:18 loggers:84] Epoch: [1], Info: [{'num_test': 100, 'len_tra': 6.58, 'R_tra': 10.495271451845765, 'ctr': '1.59503', 'CV': '0.05061', 'CV_turn': '0.30395', 'Diversity': '0.88527', 'Novelty': '5.38712', 'ifeat_feat': 0.7537993920972644, 'NX_0_len_tra': 9.09, 'NX_0_R_tra': 20.760326091200113, 'NX_0_ctr': '2.28386', 'NX_0_CV': '0.06402', 'NX_0_CV_turn': '0.27833', 'NX_0_Diversity': '0.99245', 'NX_0_Novelty': '5.57715', 'NX_0_ifeat_feat': 0.7480748074807481, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.036080008447172, 'NX_10_ctr': '2.40361', 'NX_10_CV': '0.07110', 'NX_10_CV_turn': '0.28100', 'NX_10_Diversity': '0.99285', 'NX_10_Novelty': '5.58135', 'NX_10_ifeat_feat': 0.738}]
[I 240117 02:58:19 loggers:84] Epoch: [2], Info: [{'num_test': 100, 'len_tra': 7.55, 'R_tra': 12.613365297913552, 'ctr': '1.67064', 'CV': '0.02328', 'CV_turn': '0.12185', 'Diversity': '0.82682', 'Novelty': '5.57232', 'ifeat_feat': 0.7470198675496689, 'NX_0_len_tra': 16.99, 'NX_0_R_tra': 36.1788305580616, 'NX_0_ctr': '2.12942', 'NX_0_CV': '0.04378', 'NX_0_CV_turn': '0.10182', 'NX_0_Diversity': '0.99298', 'NX_0_Novelty': '5.89406', 'NX_0_ifeat_feat': 0.7145379635079459, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 22.52059435904026, 'NX_10_ctr': '2.25206', 'NX_10_CV': '0.02885', 'NX_10_CV_turn': '0.11400', 'NX_10_Diversity': '0.99315', 'NX_10_Novelty': '5.92334', 'NX_10_ifeat_feat': 0.714}]
[I 240117 03:02:09 loggers:84] Epoch: [3], Info: [{'num_test': 100, 'len_tra': 8.3, 'R_tra': 17.05710342399776, 'ctr': '2.05507', 'CV': '0.01645', 'CV_turn': '0.07831', 'Diversity': '0.86217', 'Novelty': '5.54408', 'ifeat_feat': 0.744578313253012, 'NX_0_len_tra': 23.51, 'NX_0_R_tra': 48.32514875665307, 'NX_0_ctr': '2.05551', 'NX_0_CV': '0.03745', 'NX_0_CV_turn': '0.06295', 'NX_0_Diversity': '0.99295', 'NX_0_Novelty': '5.94290', 'NX_0_ifeat_feat': 0.6848149723521906, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 22.798636506795884, 'NX_10_ctr': '2.27986', 'NX_10_CV': '0.02151', 'NX_10_CV_turn': '0.08500', 'NX_10_Diversity': '0.99314', 'NX_10_Novelty': '5.83887', 'NX_10_ifeat_feat': 0.668}]
[I 240117 03:05:40 loggers:84] Epoch: [4], Info: [{'num_test': 100, 'len_tra': 7.77, 'R_tra': 18.553015500754118, 'ctr': '2.38778', 'CV': '0.01215', 'CV_turn': '0.06178', 'Diversity': '0.88663', 'Novelty': '5.51548', 'ifeat_feat': 0.7541827541827542, 'NX_0_len_tra': 22.98, 'NX_0_R_tra': 44.86696417815983, 'NX_0_ctr': '1.95244', 'NX_0_CV': '0.04200', 'NX_0_CV_turn': '0.07224', 'NX_0_Diversity': '0.99300', 'NX_0_Novelty': '6.03003', 'NX_0_ifeat_feat': 0.6505657093124456, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 21.290220966637136, 'NX_10_ctr': '2.12902', 'NX_10_CV': '0.02227', 'NX_10_CV_turn': '0.08800', 'NX_10_Diversity': '0.99319', 'NX_10_Novelty': '5.87269', 'NX_10_ifeat_feat': 0.68}]
[I 240117 03:09:01 loggers:84] Epoch: [5], Info: [{'num_test': 100, 'len_tra': 7.7, 'R_tra': 18.945202708467843, 'ctr': '2.46042', 'CV': '0.01341', 'CV_turn': '0.06883', 'Diversity': '0.88204', 'Novelty': '5.56457', 'ifeat_feat': 0.7584415584415585, 'NX_0_len_tra': 23.16, 'NX_0_R_tra': 44.797037580013274, 'NX_0_ctr': '1.93424', 'NX_0_CV': '0.04023', 'NX_0_CV_turn': '0.06865', 'NX_0_Diversity': '0.99300', 'NX_0_Novelty': '6.06607', 'NX_0_ifeat_feat': 0.6386010362694301, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 21.79170547403395, 'NX_10_ctr': '2.17917', 'NX_10_CV': '0.02024', 'NX_10_CV_turn': '0.08000', 'NX_10_Diversity': '0.99328', 'NX_10_Novelty': '5.93059', 'NX_10_ifeat_feat': 0.649}]
[I 240117 03:12:22 loggers:84] Epoch: [6], Info: [{'num_test': 100, 'len_tra': 7.92, 'R_tra': 19.766945866420865, 'ctr': '2.49583', 'CV': '0.01113', 'CV_turn': '0.05556', 'Diversity': '0.88741', 'Novelty': '5.45295', 'ifeat_feat': 0.7537878787878788, 'NX_0_len_tra': 22.56, 'NX_0_R_tra': 42.94213973127305, 'NX_0_ctr': '1.90346', 'NX_0_CV': '0.04453', 'NX_0_CV_turn': '0.07801', 'NX_0_Diversity': '0.99301', 'NX_0_Novelty': '6.05159', 'NX_0_ifeat_feat': 0.6591312056737588, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 21.423282226100564, 'NX_10_ctr': '2.14233', 'NX_10_CV': '0.01797', 'NX_10_CV_turn': '0.07100', 'NX_10_Diversity': '0.99327', 'NX_10_Novelty': '6.07435', 'NX_10_ifeat_feat': 0.684}]
[I 240117 03:15:51 loggers:84] Epoch: [7], Info: [{'num_test': 100, 'len_tra': 7.82, 'R_tra': 18.920930934697388, 'ctr': '2.41956', 'CV': '0.01189', 'CV_turn': '0.06010', 'Diversity': '0.89088', 'Novelty': '5.65145', 'ifeat_feat': 0.7570332480818415, 'NX_0_len_tra': 23.71, 'NX_0_R_tra': 44.05455212846398, 'NX_0_ctr': '1.85806', 'NX_0_CV': '0.04150', 'NX_0_CV_turn': '0.06917', 'NX_0_Diversity': '0.99296', 'NX_0_Novelty': '6.11787', 'NX_0_ifeat_feat': 0.6545761282159427, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 20.304792472869156, 'NX_10_ctr': '2.03048', 'NX_10_CV': '0.01822', 'NX_10_CV_turn': '0.07200', 'NX_10_Diversity': '0.99324', 'NX_10_Novelty': '5.99891', 'NX_10_ifeat_feat': 0.684}]
[I 240117 03:19:08 loggers:84] Epoch: [8], Info: [{'num_test': 100, 'len_tra': 8.18, 'R_tra': 20.33741141244769, 'ctr': '2.48624', 'CV': '0.01113', 'CV_turn': '0.05379', 'Diversity': '0.89115', 'Novelty': '5.28575', 'ifeat_feat': 0.7750611246943765, 'NX_0_len_tra': 25.84, 'NX_0_R_tra': 48.1779082839936, 'NX_0_ctr': '1.86447', 'NX_0_CV': '0.03897', 'NX_0_CV_turn': '0.05960', 'NX_0_Diversity': '0.99298', 'NX_0_Novelty': '6.11968', 'NX_0_ifeat_feat': 0.6327399380804953, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 20.971027193814518, 'NX_10_ctr': '2.09710', 'NX_10_CV': '0.01544', 'NX_10_CV_turn': '0.06100', 'NX_10_Diversity': '0.99326', 'NX_10_Novelty': '5.98857', 'NX_10_ifeat_feat': 0.651}]
[I 240117 03:22:22 loggers:84] Epoch: [9], Info: [{'num_test': 100, 'len_tra': 8.21, 'R_tra': 21.25814155369997, 'ctr': '2.58930', 'CV': '0.00987', 'CV_turn': '0.04750', 'Diversity': '0.88526', 'Novelty': '5.65507', 'ifeat_feat': 0.8099878197320342, 'NX_0_len_tra': 25.25, 'NX_0_R_tra': 46.20561921313405, 'NX_0_ctr': '1.82993', 'NX_0_CV': '0.04327', 'NX_0_CV_turn': '0.06772', 'NX_0_Diversity': '0.99301', 'NX_0_Novelty': '6.11173', 'NX_0_ifeat_feat': 0.636039603960396, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 21.053811665326357, 'NX_10_ctr': '2.10538', 'NX_10_CV': '0.01645', 'NX_10_CV_turn': '0.06500', 'NX_10_Diversity': '0.99330', 'NX_10_Novelty': '5.97818', 'NX_10_ifeat_feat': 0.686}]
[I 240117 03:25:41 loggers:84] Epoch: [10], Info: [{'num_test': 100, 'len_tra': 8.4, 'R_tra': 21.701292830109598, 'ctr': '2.58349', 'CV': '0.00987', 'CV_turn': '0.04643', 'Diversity': '0.88562', 'Novelty': '5.63380', 'ifeat_feat': 0.8119047619047619, 'NX_0_len_tra': 24.57, 'NX_0_R_tra': 46.13229994863272, 'NX_0_ctr': '1.87759', 'NX_0_CV': '0.04099', 'NX_0_CV_turn': '0.06593', 'NX_0_Diversity': '0.99296', 'NX_0_Novelty': '6.10346', 'NX_0_ifeat_feat': 0.6426536426536427, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 21.99952895283699, 'NX_10_ctr': '2.19995', 'NX_10_CV': '0.01417', 'NX_10_CV_turn': '0.05600', 'NX_10_Diversity': '0.99327', 'NX_10_Novelty': '6.05710', 'NX_10_ifeat_feat': 0.691}]
[I 240117 03:28:55 loggers:84] Epoch: [11], Info: [{'num_test': 100, 'len_tra': 8.25, 'R_tra': 22.07528762973845, 'ctr': '2.67579', 'CV': '0.01139', 'CV_turn': '0.05455', 'Diversity': '0.87663', 'Novelty': '5.80936', 'ifeat_feat': 0.7684848484848484, 'NX_0_len_tra': 24.92, 'NX_0_R_tra': 47.61653818421066, 'NX_0_ctr': '1.91078', 'NX_0_CV': '0.03720', 'NX_0_CV_turn': '0.05899', 'NX_0_Diversity': '0.99302', 'NX_0_Novelty': '6.13202', 'NX_0_ifeat_feat': 0.6179775280898876, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 21.894929729700088, 'NX_10_ctr': '2.18949', 'NX_10_CV': '0.01468', 'NX_10_CV_turn': '0.05800', 'NX_10_Diversity': '0.99323', 'NX_10_Novelty': '6.00588', 'NX_10_ifeat_feat': 0.65}]
